link,text,name,username,date,comments,retweets,quotes,likes
https://twitter.com/zeinab_bey/status/1740450546031771858#m,"royal air maroc...? même si c'est la seule compagnie qui reste au monde, c'est fini! plus jamais",habibti,@zeinab_bey,"Dec 28, 2023 · 7:12 PM UTC",3,7,8,28
https://twitter.com/hallanbeach/status/1740565087080116252#m,C'est edifiant de honte pour ton pays de devoir dependre de la puissance occupante (Melilla-Ceuta) pour la fourniture de son energie.  Une monarchie perverse et servile qui a reduit les marocains a des larbins.  Ils vous restent que le venin du crapeau.  #maroc #drogue #pegasus,DZ4life,@hallanbeach,"Dec 29, 2023 · 2:47 AM UTC",0,0,0,0
https://twitter.com/ljjv28/status/1740374777519542572#m,Le maroc 🇲🇦 !,Le Jujuvien,@ljjv28,"Dec 28, 2023 · 2:10 PM UTC",2,1,0,3
https://twitter.com/0xThrand/status/1740564800596283636#m,"----> Google.com est pas mal aussi pour les ""initiés""",0xThrand,@0xThrand,"Dec 29, 2023 · 2:46 AM UTC",0,0,0,0
https://twitter.com/falseadrian/status/1740564774448947335#m,combien coûte l'expédition au maroc monsieur le vendeur,ádrian,@falseadrian,"Dec 29, 2023 · 2:45 AM UTC",1,0,0,0
https://twitter.com/telkrzlrrllrme6/status/1740564487730839931#m,"mdr je vis au Maroc depuis 5ans, t'es dans le déni",Goy2Compét 🎱,@telkrzlrrllrme6,"Dec 29, 2023 · 2:44 AM UTC",1,0,0,0
https://twitter.com/Adel_Zb7/status/1603131606172041219#m,"Bravo les bleus, go éliminer la racaille argentine ! 🇫🇷♥️ Bravo au Maroc également qui a fait une Coupe du Monde magnifique avec un parcours historique qui restera mémorable !!! Vous n’avez pas à pleurer cette défaite, vous avez déjà gagné 🇲🇦♥️",ΛDEL 🦇🇫🇷🇩🇿,@Adel_Zb7,"Dec 14, 2022 · 8:55 PM UTC",0,53,0,80
https://twitter.com/BasosSeriesN/status/1740563709729341872#m,Une guerre entre l'Algérie et le Maroc il est fou ce type jte jure 😂,🔻Derka123🇵🇸🇩🇿🇨🇵🔻,@BasosSeriesN,"Dec 29, 2023 · 2:41 AM UTC",0,0,0,0
https://twitter.com/rachid74070713/status/1740563293700563117#m,بتوفيق,Maroc ☆ RACHID( أب أحمد ),@rachid74070713,"Dec 29, 2023 · 2:40 AM UTC",0,0,0,0
https://twitter.com/naymashop/status/1740563223487873340#m,Tu compares au asiatique pourquoi pas au français ou noir ou Maroc etc sa reste des minorités sur 6 millions d'Algériens réfléchis sinon sa serait le KO dieu merci sa reste des minorités qui mérite la prison pour leurs méfaits je suis ok mais pas d'amalgames merci,Naymashop Naymashop,@naymashop,"Dec 29, 2023 · 2:39 AM UTC",0,0,0,0
